DRUG_CODE,ACTIVE_INGREDIENT_CODE,INGREDIENT,INGREDIENT_SUPPLIED_IND,STRENGTH,STRENGTH_UNIT,STRENGTH_TYPE,DOSAGE_VALUE,BASE,DOSAGE_UNIT,NOTES,INGREDIENT_F,STRENGTH_UNIT_F,STRENGTH_TYPE_F,DOSAGE_UNIT_F
"100103","309","IRON (IRON DEXTRAN COMPLEX)","I","200","MG","","","N","ML","","Fer (Complexe fer-dextran)","MG","","ML"
"100104","20127","POSACONAZOLE","I","100","MG","","","N","","","Posaconazole","MG","",""
"100117","10021","CITRIC ACID","I","5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100118","10021","CITRIC ACID","I","5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100132","12346","TADALAFIL","I","2.5","MG","","","N","","","Tadalafil","MG","",""
"100136","10021","CITRIC ACID","I","5","%","","","N","V/V","","Acide citrique","%","","v/v"
"100137","10021","CITRIC ACID","I","5","%","","","N","V/V","","Acide citrique","%","","v/v"
"100139","11533","GLATIRAMER ACETATE","I","40","MG","","","N","ML","40MG/ML PRE-FILLED SYRINGE","Acétate de glatiramère","MG","","ML"
"100153","1403","LINEAR DODECYL BENZENE SULFONIC ACID","I","0.29","%","","","N","W/W","","Acide dodécyl benzène sulfonique linéaire","%","","p/p"
"100169","539","SODIUM HYPOCHLORITE","I","0.134","%","","","N","W/W","","Hypochlorite de sodium","%","","p/p"
"100174","197","BENZALKONIUM CHLORIDE","I","0.1212","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100174","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0909","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100174","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.0364","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100174","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0545","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100189","23007","LUBABEGRON (LUBABEGRON FUMARATE)","I","50","G","","","N","Kg","","Lubabégron (Fumarate de lubabégron)","G","","Kg"
"100199","197","BENZALKONIUM CHLORIDE","I","0.1212","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100199","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0909","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100199","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.0364","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100199","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0545","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100201","10021","CITRIC ACID","I","0.667","%","","","N","W/W","","Acide citrique","%","","p/p"
"100202","197","BENZALKONIUM CHLORIDE","I","2.36","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100202","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","1.77","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100202","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.89","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100202","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.89","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100206","197","BENZALKONIUM CHLORIDE","I","0.6","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100210","265","MENTHOL","I","8","MG","","","N","","","Menthol","MG","",""
"100210","7095","AMYLMETACRESOL","I","0.6","MG","","","N","","","Amylmétacrésol","MG","",""
"100210","7097","DICHLOROBENZYL ALCOHOL","I","1.2","MG","","","N","","","Alcool dichlorobenzylique","MG","",""
"100211","8502","BACITRACIN (BACITRACIN METHYLENE DISALICYLATE)","I","440","MG","","","N","G","","Bacitracine (Disalicylate de méthylène de bacitracine)","MG","","G"
"100220","78","CHARCOAL ACTIVATED","I","250","MG","","","N","","","Charbon activé","MG","",""
"100231","197","BENZALKONIUM CHLORIDE","I","4","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100231","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","6","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100247","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","250","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100247","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100248","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","500","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100248","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100249","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","875","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100249","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100251","2196","SODIUM CHLORITE","I","0.64","%","","","N","W/W","","Chlorite de sodium","%","","p/p"
"100251","3487","LACTIC ACID","I","2.64","%","","","N","W/W","","Acide lactique","%","","p/p"
"100252","11115","INSULIN LISPRO","I","100","UNIT","","","N","ML","","Insuline lispro","Unité","","ML"
"100253","11115","INSULIN LISPRO","I","100","UNIT","","","N","ML","","Insuline lispro","Unité","","ML"
"100254","11115","INSULIN LISPRO","I","100","UNIT","","","N","ML","","Insuline lispro","Unité","","ML"
"100255","11115","INSULIN LISPRO","I","100","UNIT","","","N","ML","","Insuline lispro","Unité","","ML"
"100256","197","BENZALKONIUM CHLORIDE","I","8.8","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100259","1890","BUSPIRONE HYDROCHLORIDE","I","10","MG","","","N","","","Chlorhydrate de buspirone","MG","",""
"100260","698","POLYETHYLENE GLYCOL 3350","I","100","%","","","N","W/W","","POLYETHYLENE GLYCOL 3350","%","","p/p"
"100261","7128","HYDROGEN PEROXIDE","I","5","%","","","N","","","Peroxyde d'hydrogène","%","",""
"100264","10091","FUROSEMIDE","I","10","MG","","","N","ML","","Furosémide","MG","","ML"
"100268","197","BENZALKONIUM CHLORIDE","I","0.1212","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100268","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0909","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100268","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.0364","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100268","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0545","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100272","11702","VALSARTAN","I","80","MG","","","N","","","Valsartan","MG","",""
"100273","11702","VALSARTAN","I","160","MG","","","N","","","Valsartan","MG","",""
"100274","11702","VALSARTAN","I","320","MG","","","N","","","Valsartan","MG","",""
"100277","197","BENZALKONIUM CHLORIDE","I","0.3331","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100281","10021","CITRIC ACID","I","2.5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100285","11847","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","I","10","MG","","","N","","","Citalopram (Bromhydrate de citalopram)","MG","",""
"100286","11847","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","I","20","MG","","","N","","","Citalopram (Bromhydrate de citalopram)","MG","",""
"100287","11847","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","I","40","MG","","","N","","","Citalopram (Bromhydrate de citalopram)","MG","",""
"100288","22341","ICATIBANT (ICATIBANT ACETATE)","I","10","MG","","","N","ML","","ICATIBANT (ICATIBANT ACETATE)","MG","","ML"
"100290","118","MYCOPHENOLATE MOFETIL","I","500","MG","","","N","","","Mofétilmycophénolate","MG","",""
"100291","118","MYCOPHENOLATE MOFETIL","I","250","MG","","","N","","","Mofétilmycophénolate","MG","",""
"100308","23170","MIXED SALTS AMPHETAMINE","I","5","MG","","","N","","(1.25MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AM","Sels mixtes d'amphétamine","MG","",""
"100309","23170","MIXED SALTS AMPHETAMINE","I","10","MG","","","N","","2.5MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AMPH","Sels mixtes d'amphétamine","MG","",""
"100310","23170","MIXED SALTS AMPHETAMINE","I","15","MG","","","N","","(3.75MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AM","Sels mixtes d'amphétamine","MG","",""
"100311","23170","MIXED SALTS AMPHETAMINE","I","20","MG","","","N","","(5MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AMPHE","Sels mixtes d'amphétamine","MG","",""
"100312","23170","MIXED SALTS AMPHETAMINE","I","25","MG","","","N","","(6.25MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AM","Sels mixtes d'amphétamine","MG","",""
"100313","23170","MIXED SALTS AMPHETAMINE","I","30","MG","","","N","","7.5MG EACH: D-AMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, D-AMPHETAMINE SULFATE, AMPH","Sels mixtes d'amphétamine","MG","",""
"100314","10021","CITRIC ACID","I","0.6","%","","","N","W/W","","Acide citrique","%","","p/p"
"100324","197","BENZALKONIUM CHLORIDE","I","0.1212","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100324","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0909","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100324","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.0364","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100324","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0545","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100330","197","BENZALKONIUM CHLORIDE","I","0.4","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100332","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.045","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100337","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.184","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100337","197","BENZALKONIUM CHLORIDE","I","0.184","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100338","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","V/V","","Chlorure de benzalkonium","%","","v/v"
"100341","11564","THROMBIN (HUMAN)","I","1500","UNIT","","3","N","ML","","Thrombine (humaine)","Unité","","ML"
"100341","17119","FIBRINOGEN (HUMAN)","I","240","MG","","3","N","ML","","Fibrinogène (humaine)","MG","","ML"
"100343","10021","CITRIC ACID","I","5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100344","197","BENZALKONIUM CHLORIDE","I","10","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100345","539","SODIUM HYPOCHLORITE","I","1.5","%","","","N","W/W","","Hypochlorite de sodium","%","","p/p"
"100347","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100347","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100349","10021","CITRIC ACID","I","5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100352","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.105","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100352","197","BENZALKONIUM CHLORIDE","I","0.105","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100354","20511","DRONEDARONE (DRONEDARONE HYDROCHLORIDE)","I","400","MG","","","N","","","Dronédarone (Chlorhydrate de dronédarone)","MG","",""
"100364","197","BENZALKONIUM CHLORIDE","I","0.26","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100365","433","DIMETHICONE","I","3.6","%","","","N","V/V","","Diméthicone","%","","v/v"
"100384","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.0614","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100385","19840","RASAGILINE (RASAGILINE MESYLATE)","I","0.5","MG","","","N","","","Rasagiline (Mésylate de rasagiline)","MG","",""
"100386","19840","RASAGILINE (RASAGILINE MESYLATE)","I","1","MG","","","N","","","Rasagiline (Mésylate de rasagiline)","MG","",""
"100387","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100390","265","MENTHOL","I","8","MG","","","N","","","Menthol","MG","",""
"100390","7095","AMYLMETACRESOL","I","0.6","MG","","","N","","","Amylmétacrésol","MG","",""
"100390","7097","DICHLOROBENZYL ALCOHOL","I","1.2","MG","","","N","","","Alcool dichlorobenzylique","MG","",""
"100390","912","EUCALYPTUS OIL","I","6.87","MG","","","N","","","Huile essentielle d'eucalyptus","MG","",""
"100394","10021","CITRIC ACID","I","4.5","%","","","N","W/W","","Acide citrique","%","","p/p"
"100395","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","250","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100396","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","500","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100397","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","125","MG","","5","N","ML","","Amoxicilline (Trihydrate d'amoxicilline)","MG","","ML"
"100398","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","250","MG","","5","N","ML","","Amoxicilline (Trihydrate d'amoxicilline)","MG","","ML"
"100420","270","ACETAMINOPHEN","I","500","MG","","","N","","","Acétaminophène","MG","",""
"100425","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.025","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100425","197","BENZALKONIUM CHLORIDE","I","0.025","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100430","6618","ISONIAZID","I","50","MG","","","N","","HISTORIC FREEFORM TEXT: ISONIAZID","Isoniazide","MG","",""
"100431","6618","ISONIAZID","I","100","MG","","","N","","HISTORIC FREEFORM TEXT: ISONIAZID","Isoniazide","MG","",""
"100432","6618","ISONIAZID","I","300","MG","","","N","","HISTORIC FREEFORM TEXT: ISONIAZID","Isoniazide","MG","",""
"100433","6618","ISONIAZID","I","50","MG","","5","N","ML","HISTORIC FREEFORM TEXT: ISONIAZID","Isoniazide","MG","","ML"
"100441","2189","LOXAPINE (LOXAPINE SUCCINATE)","I","2.5","MG","","","N","","","Loxapine (Succinate de loxapine)","MG","",""
"100442","2189","LOXAPINE (LOXAPINE SUCCINATE)","I","5","MG","","","N","","","Loxapine (Succinate de loxapine)","MG","",""
"100443","2189","LOXAPINE (LOXAPINE SUCCINATE)","I","10","MG","","","N","","","Loxapine (Succinate de loxapine)","MG","",""
"100444","2189","LOXAPINE (LOXAPINE SUCCINATE)","I","25","MG","","","N","","","Loxapine (Succinate de loxapine)","MG","",""
"100445","2189","LOXAPINE (LOXAPINE SUCCINATE)","I","50","MG","","","N","","","Loxapine (Succinate de loxapine)","MG","",""
"100457","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100458","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100464","20387","RIVAROXABAN","I","10","MG","","","N","","","Rivaroxaban","MG","",""
"100465","20387","RIVAROXABAN","I","15","MG","","","N","","","Rivaroxaban","MG","",""
"100466","20387","RIVAROXABAN","I","20","MG","","","N","","","Rivaroxaban","MG","",""
"100467","2474","NALOXONE HYDROCHLORIDE","I","0.4","MG","","","N","ML","","Chlorhydrate de naloxone","MG","","ML"
"100468","2474","NALOXONE HYDROCHLORIDE","I","4","MG","","10","N","ML","","Chlorhydrate de naloxone","MG","","ML"
"100470","13107","LEVETIRACETAM","I","100","MG","","","N","ML","","Lévétiracétam","MG","","ML"
"100471","13107","LEVETIRACETAM","I","100","MG","","","N","ML","","Lévétiracétam","MG","","ML"
"100473","7128","HYDROGEN PEROXIDE","I","2.4","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100485","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100485","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100497","22048","DIMETHYL FUMARATE","I","120","MG","","","N","","","Fumarate de diméthyle","MG","",""
"100498","22048","DIMETHYL FUMARATE","I","240","MG","","","N","","","Fumarate de diméthyle","MG","",""
"100499","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","250","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100499","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100500","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","500","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100500","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100501","11101","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","I","875","MG","","","N","","","Amoxicilline (Trihydrate d'amoxicilline)","MG","",""
"100501","11247","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","I","125","MG","","","N","","","Acide clavulanique (Clavulanate de potassium)","MG","",""
"100503","539","SODIUM HYPOCHLORITE","I","0.03","%","","","N","W/W","","Hypochlorite de sodium","%","","p/p"
"100511","197","BENZALKONIUM CHLORIDE","I","0.1","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100514","150","ACETYLSALICYLIC ACID","I","80","MG","","","N","","","Acide acétylsalicylique","MG","",""
"100523","182","DIPHENHYDRAMINE HYDROCHLORIDE","I","50","MG","","","N","","","Chlorhydrate de diphénhydramine","MG","",""
"100524","182","DIPHENHYDRAMINE HYDROCHLORIDE","I","25","MG","","","N","","","Chlorhydrate de diphénhydramine","MG","",""
"100526","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100529","7128","HYDROGEN PEROXIDE","I","0.5","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100533","12346","TADALAFIL","I","2.5","MG","","","N","","","Tadalafil","MG","",""
"100538","8926","EPINEPHRINE","I","1","MG","","","N","ML","","Épinéphrine","MG","","ML"
"100551","42","DEXTROSE","I","70","G","","100","N","ML","","Dextrose","G","","ML"
"100556","197","BENZALKONIUM CHLORIDE","I","0.034","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100556","2218","OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","I","0.026","%","","","N","W/W","","Chlorure d'octyl décyl diméthyl ammonium","%","","p/p"
"100556","2232","DIOCTYL DIMETHYL AMMONIUM CHLORIDE","I","0.013","%","","","N","W/W","","Chlorure de dioctyl-diméthyl ammonium","%","","p/p"
"100556","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","0.013","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100564","55","SODIUM CHLORIDE","I","9","MG","","","N","ML","","Chlorure de sodium","MG","","ML"
"100570","7512","DESONIDE","I","0.05","%","","","N","W/W","HISTORIC FREEFORM TEXT: DESONIDE","Désonide","%","","p/p"
"100571","7512","DESONIDE","I","0.05","%","","","N","W/W","HISTORIC FREEFORM TEXT: DESONIDE","Désonide","%","","p/p"
"100573","539","SODIUM HYPOCHLORITE","I","3.65","%","","","N","W/W","","Hypochlorite de sodium","%","","p/p"
"100582","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100584","7942","CETIRIZINE HYDROCHLORIDE","I","10","MG","","","N","","","Chlorhydrate de cétirizine","MG","",""
"100593","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100593","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100594","22341","ICATIBANT (ICATIBANT ACETATE)","I","30","MG","","3","N","ML","","ICATIBANT (ICATIBANT ACETATE)","MG","","ML"
"100601","10021","CITRIC ACID","I","770","MG","","100","N","ML","CITRIC ACID (ANHYDROUS)","Acide citrique","MG","","ML"
"100601","10290","SODIUM CITRATE","I","2.14","G","","100","N","ML","SODIUM CITRATE (DIHYDRATE)","Citrate de sodium","G","","ML"
"100601","42","DEXTROSE","I","2.54","G","","100","N","ML","DEXTROSE (MONOHYDRATE)","Dextrose","G","","ML"
"100604","23601","CASIRIVIMAB","I","300","MG","","2.5","N","ML","","Casirivimab","MG","","ML"
"100604","23602","IMDEVIMAB","I","300","MG","","2.5","N","ML","","Imdévimab","MG","","ML"
"100605","9329","TROLAMINE SALICYLATE","I","15","%","","","N","W/W","","Salicylate de trolamine","%","","p/p"
"100606","11899","RIZATRIPTAN (RIZATRIPTAN BENZOATE)","I","5","MG","","","N","","","Rizatriptan (Benzoate de rizatriptan)","MG","",""
"100608","150","ACETYLSALICYLIC ACID","I","80","MG","","","N","","","Acide acétylsalicylique","MG","",""
