DRUG_CODE,PRODUCT_CATEGORIZATION,CLASS,DRUG_IDENTIFICATION_NUMBER,BRAND_NAME,DESCRIPTOR,PEDIATRIC_FLAG,ACCESSION_NUMBER,NUMBER_OF_AIS,LAST_UPDATE_DATE,AI_GROUP_NO,CLASS_F,BRAND_NAME_F,DESCRIPTOR_F
"47422","","Human","02229517","METFORMIN","","N","","1","18-JAN-2024","0101773002","Humain","",""
"51919","CAT IV - DIETARY VITAMIN SUPPLEMENTS","Human","02232488","ANTLERVIRON","","N","","4","02-APR-2020","0428658002","Humain","",""
"63364","","Human","02239876","LAMISIL DERMGEL","","N","","1","14-MAR-2016","0132855003","Humain","",""
"63453","","Disinfectant","02239950","POWDER DETERGENT / DISINFECTANT","","N","","2","27-JAN-2017","0205019012","Désinfectant","",""
"62493","","Human","02239040","CHILDREN'S NICOLD MEDICINE","","N","","3","03-MAY-2019","0315268002","Humain","",""
"62494","","Human","02239041","NICOLD MEDICINE FOR ADULTS","","N","","4","02-OCT-2012","0419805002","Humain","",""
"62515","","Human","02239061","NITETIME COLD MEDICINE","","N","","4","02-OCT-2012","0419805004","Humain","",""
"59933","","Human","02236565","ORCIPRENALINE","","N","","1","06-FEB-2024","0102598001","Humain","",""
"61781","","Human","02238369","NABUMETONE","","N","","1","06-FEB-2024","0122821001","Humain","",""
"60898","","Human","02237560","TICLOPIDINE","","N","","1","06-FEB-2024","0122822001","Humain","",""
"63076","","Human","02239606","CELEXA 10 MG","","N","","1","05-NOV-2019","0136243003","Humain","",""
"61803","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02238390","BARDAC 205M-50 DISINFECTANT SANITIZER","","N","","4","15-JAN-2024","0414758029","Désinfectant","",""
"61731","","Human","02238328","PMS-SOTALOL - 240 MG","","N","","1","30-MAY-2011","0113778004","Humain","",""
"43968","","Human","02144301","MIACALCIN INJECTION 200IU/ML","","N","T9238","1","23-MAR-2016","0111011001","Humain","",""
"60695","","Human","02237372","APO-FLUCONAZOLE","","N","","1","27-JUN-2008","0122529006","Humain","",""
"60216","","Veterinary","02236924","T 500","","N","","1","07-DEC-2021","0108220005","Vétérinaire","",""
"60219","","Human","02236927","DIGESTIVE ENZYMES","","N","","8","30-MAY-2018","0831867001","Humain","",""
"62148","","Disinfectant","02238716","HS-267Q","","N","","2","15-JAN-2024","0213172012","Désinfectant","",""
"64137","","Human","02240565","MEDICAMENT POUR LE RHUME, JOUR","","N","","3","20-OCT-2002","0319503001","Humain","",""
"64138","","Human","02240566","MEDICAMENT POUR LE RHUME, NUIT","","N","","4","20-OCT-2002","0414717004","Humain","",""
"64171","","Human","02240600","CEFADROXIL","","N","","1","25-JAN-2024","0115958005","Humain","",""
"62801","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02239332","BARDAC 205M-10","","N","","4","17-JAN-2024","0414758030","Désinfectant","",""
"20000","","Human","02211947","DESIPRAMINE","","N","82299","1","23-OCT-2023","0102137001","Humain","",""
"20033","","Human","02211963","DESIPRAMINE","","N","82332","1","23-OCT-2023","0102137002","Humain","",""
"43021","","Human","02207664","BUSPIRONE","","N","P9277","1","23-OCT-2023","0116263002","Humain","",""
"19731","","Human","02185423","MEGESTROL","","N","82027","1","25-JAN-2024","0111633003","Humain","",""
"19758","","Human","02182858","LEVODOPA-CARBIDOPA","","N","82054","2","31-MAY-2024","0210315001","Humain","",""
"18847","","Human","02171864","BROMAZEPAM","","N","81127","1","19-JAN-2024","0114488003","Humain","",""
"60871","","Human","02237534","LOXAPINE","","N","","1","25-JAN-2024","0111557002","Humain","",""
"60872","","Human","02237535","LOXAPINE","","N","","1","25-JAN-2024","0111557004","Humain","",""
"60873","","Human","02237536","LOXAPINE","","N","","1","25-JAN-2024","0111557001","Humain","",""
"19816","","Human","02197421","ACYCLOVIR","","N","82113","1","05-FEB-2024","0115506005","Humain","",""
"60874","","Human","02237537","LOXAPINE","","N","","1","25-JAN-2024","0111557003","Humain","",""
"60652","LS - TOPICAL - ANAESTHETIC/ANALGESIC/ANTIPRURITIC","Human","02237329","HENRY SCHEIN TOPICAL ANESTHETIC GEL","","N","","2","03-MAY-2019","0204973001","Humain","",""
"61552","","Human","02238161","TAGAMET PREVENT","","N","","1","23-JAN-2024","0111925005","Humain","",""
"45666","","Human","00654493","PMS-AMITRIPTYLINE","","N","W7931","1","20-NOV-2023","0101524004","Humain","",""
"64541","","Disinfectant","02240950","CESCO ACT 1010","","N","","2","21-SEP-1999","0205019003","Désinfectant","",""
"63063","","Disinfectant","02239593","NP 4.5 (D&F) DETERGENT/DISINFECTANT","","N","","2","23-OCT-2020","0205019005","Désinfectant","",""
"60994","","Human","02237651","APO-LOXAPINE","","N","","1","06-FEB-2024","0111557002","Humain","",""
"60995","","Human","02237652","APO-LOXAPINE","","N","","1","06-FEB-2024","0111557004","Humain","",""
"60996","","Human","02237653","APO-LOXAPINE","","N","","1","06-FEB-2024","0111557001","Humain","",""
"60997","","Human","02237654","APO-LOXAPINE","","N","","1","06-FEB-2024","0111557003","Humain","",""
"60952","","Disinfectant","02237613","NUGEN RTU","","N","","1","15-JAN-2024","0104993038","Désinfectant","",""
"62535","","Human","02239080","DM 7.5MG CROQUABLE (CHEWABLE TABLET)","","N","","1","03-MAY-2019","0100807010","Humain","",""
"63096","LS - ANALG. (ACETAMINOPHEN, SALICYLATES, CODEINE)","Human","02239625","INFANT'S ACETAMINOPHEN SUSPENSION DROPS","","N","","1","27-OCT-2011","0102009003","Humain","",""
"63097","LS - ANALG. (ACETAMINOPHEN, SALICYLATES, CODEINE)","Human","02239626","TANTAPHEN CHILDREN'S ACETAMINOPHEN SUSPENSION LIQUID","","N","","1","04-JUL-2014","0102009005","Humain","",""
"18846","","Human","02171856","BROMAZEPAM","","N","81126","1","19-JAN-2024","0114488002","Humain","",""
"63061","CAT IV","Disinfectant","02239591","CD 4.5 (D&F) DETERGENT/DISINFECTANT","","N","","2","17-DEC-2009","0205019005","Désinfectant","",""
"43771","","Human","02091216","FLUCONAZOLE TABLETS","","N","S9712","1","19-APR-2024","0122529001","Humain","",""
"76053","","Disinfectant","02275015","MAQUAT 7.5-M","","N","","4","24-OCT-2023","0414758005","Désinfectant","",""
"60709","CAT IV - SUNBURN PROTECTANTS","Human","02237386","DML FACIAL MOISTURIZER WITH SUNSCREEN","","N","","2","28-MAR-2017","0216932014","Humain","",""
"50889","","Human","02231547","PMS-METOPROLOL-L SR","","N","","1","09-MAR-2003","0111923001","Humain","",""
"74611","","Human","02260670","HEAD COLD AND SINUS RELIEF CAPLETS","","N","","2","16-JAN-2024","0216113001","Humain","",""
"77404","","Human","02288621","NEOSURF","","N","","2","08-DEC-2021","0252489001","Humain","",""
"74401","LS - DIMENHYDRINATE","Human","02258773","ANTI-NAUSEANT","","N","","1","13-JAN-2022","0102747004","Humain","",""
"76223","","Human","02276569","PROVOCHOLINE INHALATION SOLUTION","SINGLE USE","N","","5","05-FEB-2024","0551578001","Humain","","USAGE UNIQUE"
"65421","","Human","02241758","BENYLIN DM LIQUID CENTRE LOZENGES EXTRA STRENGTH","","N","","1","12-MAY-2007","0100807007","Humain","",""
"72590","LS - LAXATIVES (GENERAL)","Human","02248253","METHYLAX","","N","","1","16-OCT-2003","0101838006","Humain","",""
"71922","LS - SLEEP AIDS","Human","02247659","DIPHENHYDRAMINE HYDROCHLORIDE 50MG USP","","N","","1","23-JAN-2024","0102639001","Humain","",""
"70160","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02246031","BARDAC 205M-14.08","","N","","4","17-JAN-2024","0414758035","Désinfectant","",""
"78190","","Human","02296586","PMS-QUETIAPINE","","N","","1","22-FEB-2022","0131858004","Humain","",""
"73717","","Human","02252295","MYOBLOC","","N","","1","11-JAN-2013","0150061001","Humain","",""
"69106","","Human","02245100","RIVA-DIMENHYDRINATE TABLETS","","N","","1","13-JAN-2022","0102747004","Humain","",""
"77841","","Human","02293021","APO-GALANTAMINE","","N","","1","04-JAN-2010","0144660001","Humain","",""
"77842","","Human","02293048","APO-GALANTAMINE","","N","","1","04-JAN-2010","0144660002","Humain","",""
"77843","","Human","02293056","APO-GALANTAMINE","","N","","1","04-JAN-2010","0144660003","Humain","",""
"79567","","Human","02309998","DOM-PANTOPRAZOLE","","N","","1","16-JUL-2019","0133229002","Humain","",""
"78442","","Human","02299011","DOM-QUETIAPINE","","N","","1","12-SEP-2008","0131858004","Humain","",""
"61453","","Human","02238069","VALPROIC ACID ORAL SOLUTION","","N","","1","06-FEB-2024","0112996002","Humain","",""
"80752","","Human","02322099","COMPLETE ONE COLD AND FLU PE NIGHT","","N","","3","16-JAN-2024","0351461002","Humain","",""
"63675","","Human","02240159","RELIEVOL PMS REGULAR STRENGTH TABLETS","","N","","3","04-JUL-2014","0316117001","Humain","",""
"69087","LS - ANALG. (ACETAMINOPHEN, SALICYLATES, CODEINE)","Human","02245083","ASA 80 MG","","N","","1","07-DEC-2001","0101169013","Humain","",""
"64545","","Human","02240953","CHLORPHENIRAMINE MALEATE INJECTION USP","","N","","1","21-SEP-1999","0100615001","Humain","",""
"80873","","Disinfectant","02323249","CLEANWELL DAILY DISINFECTANT CLEANER TOWELETTE","","N","","1","08-MAR-2024","0101107007","Désinfectant","",""
"80886","","Disinfectant","02323389","BTC 1210 10% SOLUTION","","N","","2","16-JAN-2024","0213172031","Désinfectant","",""
"60044","","Human","02236757","DOM-NIFEDIPINE","","N","","1","14-MAR-2016","0115253003","Humain","",""
"60045","","Human","02236758","DOM-NIFEDIPINE","","N","","1","14-MAR-2016","0115253001","Humain","",""
"67984","CAT IV - SUNBURN PROTECTANTS","Human","02244041","ZINC STICK","","N","","4","21-SEP-2003","0428435008","Humain","",""
"73670","","Human","02251795","TARO-LORATADINE","","N","","1","11-JUN-2010","0120416001","Humain","",""
"76523","","Human","02279622","APO-TOPIRAMATE","","N","","1","06-NOV-2006","0132938003","Humain","",""
"103233","","Human","02543907","NOYADA","","N","","1","18-DEC-2023","0114954006","Humain","",""
"60300","","Human","02237000","REACTINE EYE DROPS","","N","","2","06-AUG-2008","0213722002","Humain","",""
"74861","","Human","02263211","CIPRALEX    -5MG","","N","","1","04-DEC-2007","0150435001","Humain","",""
"77535","","Human","02290049","ISOPROTERENOL HYDROCHLORIDE INJECTION USP","","N","","1","22-DEC-2006","0101873001","Humain","",""
"80684","","Human","02321459","APO-ENTACAPONE","","N","","1","23-APR-2012","0143623001","Humain","",""
"80711","","Disinfectant","02321726","GERMICIDE V","","N","","3","30-AUG-2011","0312484004","Désinfectant","",""
"77788","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02292513","CLOROX DISINFECTING CLEAN CLOTHS","","N","","2","28-FEB-2007","0205019042","Désinfectant","",""
"77789","","Human","02292521","DAYTIME COLD RELIEF EXTRA STRENGTH","","N","","3","28-FEB-2007","0351264008","Humain","",""
"77790","","Human","02292548","NASAL DECONGESTANT","","N","","1","27-FEB-2007","0100662008","Humain","",""
"78978","","Human","02304503","TEVA-DOXYLAMINE/PYRIDOXINE DR","","N","","2","10-OCT-2017","0213346001","Humain","",""
"76454","","Human","02278987","EXTRA STRENGTH PHARMACITRON","","N","","4","22-FEB-2020","0411174018","Humain","",""
"74863","","Human","02263246","CIPRALEX   -15MG","","N","","1","28-FEB-2007","0150435003","Humain","",""
"70574","","Human","02246402","CHILDREN'S ADVIL CHEWABLE TABLETS","","N","","1","05-FEB-2024","0108883009","Humain","",""
"69020","","Human","02245019","DAMYLIN AVEC CODEINE SIROP","","N","","3","20-FEB-2017","0311067001","Humain","",""
"66132","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02242420","BARDAC 205M-1.3","","N","","4","15-JAN-2024","0414758016","Désinfectant","",""
"102137","CAT IV - SUNBURN PROTECTANTS","Human","02532336","BORN THIS WAY HEALTHY GLOW 30 SPF MOISTURIZING SKIN TINT","","N","","3","24-JAN-2024","0327220040","Humain","",""
"79299","","Human","02307316","KIDS COLD CHEWABLE TABLETS","","N","","2","04-APR-2016","0244021006","Humain","",""
"77670","","Human","02291339","NIGHTTIME COUGH AND SORE THROAT LIQUID","","N","","3","25-JAN-2007","0351552002","Humain","",""
"74428","LS - SLEEP AIDS","Human","02258994","SLEEP AID CAPLETS","","N","","1","22-JAN-2024","0102639002","Humain","",""
"74429","LS - ANALG. (ACETAMINOPHEN, SALICYLATES, CODEINE)","Human","02259001","ACETAMINOPHEN 500MG, CAFFEINE AND 8MG CODEINE PHOSPHATE","","N","","3","19-JAN-2024","0311391004","Humain","",""
"70173","CAT IV - HARD SURFACE DISINFECTANTS","Disinfectant","02246042","BARDAC 205M-7.5","","N","","4","15-JAN-2024","0414758013","Désinfectant","",""
"74382","","Human","02258625","NIGHTTIME COLD & FLU RELIEF SYRUP","","N","","4","16-JAN-2024","0419805002","Humain","",""
"74383","","Human","02258633","SINUS RELIEF NIGHTIME CAPLETS","","N","","3","15-JAN-2024","0327704004","Humain","",""
"74384","","Human","02258641","CHILDREN'S COUGH SYRUP","","N","","1","16-JAN-2024","0100807004","Humain","",""
"74386","","Human","02258676","DAYTIME COLD RELIEF CAPLETS","","N","","3","22-JAN-2024","0319503004","Humain","",""
"74387","","Human","02258684","ALLERGY + SINUS RELIEF REGULAR CAPLETS","","N","","3","22-JAN-2024","0312435004","Humain","",""
"74396","","Veterinary","02258722","DEXAFORTE 2 (DEXAMETHASONE SODIUM PHOSPHATE INJECTION)","","N","","1","26-SEP-2004","0131220003","Vétérinaire","",""
"74397","","Veterinary","02258730","DEXAFORTE 5 (DEXAMETHASONE SODIUM PHOSPHATE INJECTION)","","N","","1","26-SEP-2004","0131220002","Vétérinaire","",""
"73679","","Human","02251892","MUSCLE RELAXANT AND BACK PAIN RELIEF REGULAR STRENGTH TABLETS","","N","","2","22-JAN-2024","0201273001","Humain","",""
"60032","","Human","02236746","CLOTRIMADERM TOPICAL SOLUTION 1% USP","","N","","1","18-MAR-2016","0110231001","Humain","",""
"69421","","Human","02245382","BENYLIN DM WITH PECTIN FREEZER POPS","","N","","2","25-JAN-2011","0246402001","Humain","",""
"67443","","Human","02243525","THIAMINE HYDROCHLORIDE INJECTION, USP","","N","","1","19-JAN-2024","0108220001","Humain","",""
"71462","","Human","02247220","SIMVASTATIN-5","","N","","1","06-FEB-2024","0122415001","Humain","",""
"72446","","Human","02248119","APO-TRIFLURIDINE OPHTHALMIC SOLUTION","","N","","1","03-MAY-2006","0115886001","Humain","",""
"75818","","Disinfectant","02272660","MAQUAT 10 HOUSEHOLD","","N","","2","28-OCT-2005","0205019003","Désinfectant","",""
"67977","","Disinfectant","02244034","DISENTERGE","","N","","2","25-JUN-2007","0205019008","Désinfectant","",""
"73097","","Human","02248729","APO-ALENDRONATE","","N","","1","15-APR-2024","0150323001","Humain","",""
"75806","","Human","02272547","ACID CONCENTRATE A1273","","N","","5","18-JAN-2024","0517387040","Humain","CONCENTRÉ ACIDE A1273",""
"43348","","Human","02223155","BUSPIRONE-5","","N","P9679","1","25-JAN-2024","0116263002","Humain","",""
"36818","","Human","02210584","PHARMACITRON","","N","H4217","4","22-FEB-2020","0411174016","Humain","",""
"76675","","Human","02281082","COUGH SYRUP DM DECONGESTANT","","N","","2","02-JUN-2006","0216794006","Humain","",""
"76680","","Human","02281120","COLD AND FLU-IN-ONE REGULAR STRENGTH","","N","","4","15-JUN-2006","0421980013","Humain","",""
"73808","","Human","02253127","ZAP TOPICAL ANESTHETIC SPRAY AEROSOL","STRAWBERRY ICE AND COOL MINT","N","","2","05-APR-2012","0204973001","Humain","",""
"76324","LS - DIMENHYDRINATE","Human","02277638","MOTION SICKNESS CHILDREN'S CHEWABLE TABLETS","","N","","1","13-JAN-2022","0102747005","Humain","",""
"70625","LS - SLEEP AIDS","Human","02246449","DORMIRAX 25","","N","","1","23-AUG-2002","0139001002","Humain","",""
"70626","LS - SLEEP AIDS","Human","02246450","DORMIRAX 50","","N","","1","23-AUG-2002","0139001003","Humain","",""
"75054","","Human","02265052","APO-ACETACO #1","","N","","3","03-FEB-2017","0311391002","Humain","",""
"67561","","Disinfectant","02243635","LONZA FORMULATION S-38F","","N","","4","10-FEB-2021","0414758009","Désinfectant","",""
"74443","","Veterinary","02259168","VITAMIN K1 INJECTION","","N","","1","03-OCT-2004","0108526001","Vétérinaire","",""
"65264","","Human","02241607","DOM-IPRATROPIUM 250 MCG/ML (2 ML)","","N","","1","22-MAY-2001","0115643001","Humain","",""
"61189","","Human","02237830","VALPROIC ACID","","N","","1","06-FEB-2024","0112996001","Humain","",""
"72891","","Human","02248537","APO-TRYPTOPHAN","","N","","1","29-MAY-2017","0111038004","Humain","",""
"77634","LS - ANALGESICS/CAFFEINE","Human","02290944","ACETAMINOPHEN RELIEF REGULAR STRENGTH","","N","","2","22-FEB-2007","0211744001","Humain","",""
"75074","","Human","02265257","PENDO-5 ASA","ALSO KNOWN AS MESALAMINE","N","","1","23-MAR-2018","0116808001","Humain","",""
"77990","","Human","02294540","NIGHTTIME COLD RELIEF EXTRA STRENGTH TABLETS PE","","N","","4","22-JAN-2024","0451565002","Humain","",""
"77993","","Human","02294567","DAYTIME COLD RELIEF EXTRA STRENGTH TABLETS PE","","N","","3","22-JAN-2024","0351264005","Humain","",""
"78002","","Human","02294672","DOM-PANTOPRAZOLE","","N","","1","07-APR-2008","0133229001","Humain","",""
"74141","","Disinfectant","02256185","NUGEN HS-1210 (14.08%) DISINFECTANT/SANITIZER","","N","","2","15-JAN-2024","0213172014","Désinfectant","",""
"64849","","Disinfectant","02241240","BTC 885 NEUTRAL DISINFECTANT CLEANER - 128","","N","","4","13-MAY-2022","0414758020","Désinfectant","",""
"64850","","Disinfectant","02241241","BTC 885 NEUTRAL DISINFECTANT CLEANER - 64","","N","","4","06-OCT-2022","0414758004","Désinfectant","",""
"62875","","Disinfectant","02239403","MAQUAT 128-MNC","","N","","4","10-JUL-2018","0414758020","Désinfectant","",""
"63566","","Disinfectant","02240056","TEK-PHENE","","N","","3","07-MAY-2005","0305025013","Désinfectant","",""
"63318","","Human","02239831","PMS-PIMOZIDE","","N","","1","25-JAN-2007","0109963002","Humain","",""
"76734","","Human","02281686","COUGH SYRUP DM-DECONGESTANT EXPECTORANT","","N","","3","08-JUN-2006","0300674002","Humain","",""
