DRUG_CODE,ROUTE_OF_ADMINISTRATION_CODE,ROUTE_OF_ADMINISTRATION,ROUTE_OF_ADMINISTRATION_F
"71449","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71449","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"71462","56","ORAL","Orale"
"71516","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71516","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71520","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71520","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"48992","70","TOPICAL","Topique"
"48993","70","TOPICAL","Topique"
"49008","22","INTRAMUSCULAR","Intramusculaire"
"49052","22","INTRAMUSCULAR","Intramusculaire"
"49052","49","INTRAVENOUS","Intraveineuse"
"51152","56","ORAL","Orale"
"62801","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62801","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64137","56","ORAL","Orale"
"64138","56","ORAL","Orale"
"64171","56","ORAL","Orale"
"51471","56","ORAL","Orale"
"51472","56","ORAL","Orale"
"69087","56","ORAL","Orale"
"69106","56","ORAL","Orale"
"71599","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71520","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"49239","62","RECTAL","Rectale"
"49246","22","INTRAMUSCULAR","Intramusculaire"
"71710","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71710","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71711","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71711","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71712","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71712","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"71762","56","ORAL","Orale"
"71763","56","ORAL","Orale"
"44174","56","ORAL","Orale"
"49593","56","ORAL","Orale"
"49781","56","ORAL","Orale"
"49783","56","ORAL","Orale"
"49790","56","ORAL","Orale"
"49791","56","ORAL","Orale"
"62493","56","ORAL","Orale"
"62494","56","ORAL","Orale"
"62515","56","ORAL","Orale"
"62535","56","ORAL","Orale"
"49572","56","ORAL","Orale"
"69421","56","ORAL","Orale"
"69442","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69442","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"69443","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"69443","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64105","70","TOPICAL","Topique"
"71711","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"71712","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"71712","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"71711","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"71710","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"71710","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"71520","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"85620","56","ORAL","Orale"
"85664","56","ORAL","Orale"
"85665","56","ORAL","Orale"
"85672","70","TOPICAL","Topique"
"85679","56","ORAL","Orale"
"81183","105","TOPICAL (COMMERCIAL)","Topique (Milieu commercial)"
"85753","56","ORAL","Orale"
"67561","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"67561","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"67610","22","INTRAMUSCULAR","Intramusculaire"
"67610","49","INTRAVENOUS","Intraveineuse"
"81023","56","ORAL","Orale"
"81024","56","ORAL","Orale"
"81412","56","ORAL","Orale"
"82325","22","INTRAMUSCULAR","Intramusculaire"
"76344","56","ORAL","Orale"
"78644","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"78644","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"94720","22","INTRAMUSCULAR","Intramusculaire"
"94720","49","INTRAVENOUS","Intraveineuse"
"94720","65","SUBCUTANEOUS","Sous-cutanée"
"62876","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"62876","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"62876","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"62874","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"62874","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"62874","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"94742","49","INTRAVENOUS","Intraveineuse"
"94744","70","TOPICAL","Topique"
"76053","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"76053","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"76053","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"94748","70","TOPICAL","Topique"
"75816","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"75816","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"75816","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"75253","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"78077","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"78077","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"76052","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"94760","49","INTRAVENOUS","Intraveineuse"
"94771","22","INTRAMUSCULAR","Intramusculaire"
"94771","65","SUBCUTANEOUS","Sous-cutanée"
"94783","53","NASAL","Nasale"
"94784","56","ORAL","Orale"
"94801","53","NASAL","Nasale"
"94806","70","TOPICAL","Topique"
"94810","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"94810","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"94810","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"94810","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"94810","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"94820","70","TOPICAL","Topique"
"94812","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"94812","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75816","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"75816","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"77904","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"77905","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"77906","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"93749","56","ORAL","Orale"
"93750","56","ORAL","Orale"
"93752","56","ORAL","Orale"
"77680","56","ORAL","Orale"
"79734","70","TOPICAL","Topique"
"85039","56","ORAL","Orale"
"85040","56","ORAL","Orale"
"85041","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"76675","56","ORAL","Orale"
"76680","56","ORAL","Orale"
"95316","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95316","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95316","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95322","56","ORAL","Orale"
"95323","56","ORAL","Orale"
"95334","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95334","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95334","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95334","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95334","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95335","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95335","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95335","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95335","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95335","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95336","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95336","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95336","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95336","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95336","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95338","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95338","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95338","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95338","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95338","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95340","70","TOPICAL","Topique"
"95341","70","TOPICAL","Topique"
"95342","70","TOPICAL","Topique"
"95366","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95366","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95366","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95376","56","ORAL","Orale"
"95377","56","ORAL","Orale"
"95379","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95379","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95379","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"93758","49","INTRAVENOUS","Intraveineuse"
"93759","49","INTRAVENOUS","Intraveineuse"
"93761","49","INTRAVENOUS","Intraveineuse"
"93763","56","ORAL","Orale"
"93764","56","ORAL","Orale"
"93771","56","ORAL","Orale"
"93790","56","ORAL","Orale"
"93809","53","NASAL","Nasale"
"93823","56","ORAL","Orale"
"93824","56","ORAL","Orale"
"93826","53","NASAL","Nasale"
"93855","56","ORAL","Orale"
"93869","56","ORAL","Orale"
"93871","56","ORAL","Orale"
"93878","56","ORAL","Orale"
"93879","56","ORAL","Orale"
"93892","49","INTRAVENOUS","Intraveineuse"
"93893","49","INTRAVENOUS","Intraveineuse"
"93894","49","INTRAVENOUS","Intraveineuse"
"93895","49","INTRAVENOUS","Intraveineuse"
"93896","49","INTRAVENOUS","Intraveineuse"
"93907","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"93907","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"84444","70","TOPICAL","Topique"
"84445","70","TOPICAL","Topique"
"95394","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95394","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95394","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95394","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"95394","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"74006","56","ORAL","Orale"
"74008","56","ORAL","Orale"
"74013","56","ORAL","Orale"
"60300","55","OPHTHALMIC","Ophtalmique"
"67443","22","INTRAMUSCULAR","Intramusculaire"
"67443","49","INTRAVENOUS","Intraveineuse"
"79996","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"80413","56","ORAL","Orale"
"74103","56","ORAL","Orale"
"74104","56","ORAL","Orale"
"74141","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"74141","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"74141","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"84491","56","ORAL","Orale"
"84504","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"93090","56","ORAL","Orale"
"93094","22","INTRAMUSCULAR","Intramusculaire"
"93146","56","ORAL","Orale"
"93160","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"93160","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"93160","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"93160","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"93169","56","ORAL","Orale"
"93170","56","ORAL","Orale"
"93174","49","INTRAVENOUS","Intraveineuse"
"93178","49","INTRAVENOUS","Intraveineuse"
"93176","49","INTRAVENOUS","Intraveineuse"
"93177","49","INTRAVENOUS","Intraveineuse"
"93179","49","INTRAVENOUS","Intraveineuse"
"93180","49","INTRAVENOUS","Intraveineuse"
"93181","49","INTRAVENOUS","Intraveineuse"
"93182","49","INTRAVENOUS","Intraveineuse"
"93202","56","ORAL","Orale"
"93203","56","ORAL","Orale"
"93231","56","ORAL","Orale"
"93230","56","ORAL","Orale"
"76341","56","ORAL","Orale"
"78011","6","HAEMODIALYSIS","Hémodialyse"
"80587","56","ORAL","Orale"
"95534","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"95534","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95534","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95535","49","INTRAVENOUS","Intraveineuse"
"95537","56","ORAL","Orale"
"95542","49","INTRAVENOUS","Intraveineuse"
"95542","65","SUBCUTANEOUS","Sous-cutanée"
"95556","49","INTRAVENOUS","Intraveineuse"
"95557","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"95563","49","INTRAVENOUS","Intraveineuse"
"95585","49","INTRAVENOUS","Intraveineuse"
"95588","49","INTRAVENOUS","Intraveineuse"
"95599","56","ORAL","Orale"
"95600","56","ORAL","Orale"
"95601","56","ORAL","Orale"
"95619","49","INTRAVENOUS","Intraveineuse"
"84568","56","ORAL","Orale"
"64849","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"84579","70","TOPICAL","Topique"
"84613","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"84614","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"84614","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"84614","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"84614","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"84630","56","ORAL","Orale"
"62875","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"95671","29","INHALATION","Inhalation"
"95672","29","INHALATION","Inhalation"
"95673","29","INHALATION","Inhalation"
"95674","29","INHALATION","Inhalation"
"95675","29","INHALATION","Inhalation"
"95693","49","INTRAVENOUS","Intraveineuse"
"95695","56","ORAL","Orale"
"95696","56","ORAL","Orale"
"95707","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"95707","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"80387","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
